transcript_id	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0078604	0	0	0	0	0	0
FBtr0078605	1	0	0	0	0	0
FBtr0078606	0	0	0	0	0	0
FBtr0078607	0	0	0	0	0	0
FBtr0078608	0	0	0	0	0	0
FBtr0078609	1	0	0	0	0	0
FBtr0078610	0	0	0	0	0	0
FBtr0078611	2	0	0	0	0	0
FBtr0078614	0	0	0	0	0	0
FBtr0078615	0	0	0	0	0	0
FBtr0078616	4	1	0	0	0	0
FBtr0078617	0	0	0	0	0	0
FBtr0078618	0	0	0	1	0	0
FBtr0078619	1	2	3	0	0	1
FBtr0078620	0	0	0	0	0	0
FBtr0078621	1	0	0	0	0	0
FBtr0078623	0	0	0	0	0	0
FBtr0078624	1185.05	153.76	239.21	696.49	179.94	243.38
FBtr0078625	707.78	466.07	629.73	1102.92	470.86	431.36
FBtr0078627	0	0	0	0	16.53	0
FBtr0078628	0	0	0	0	0	0
FBtr0078629	3189	1082	1483	3104	928	952
FBtr0078630	593.21	212	253	635.24	259	262
FBtr0078631	681.94	365.71	440.67	854.2	399.1	385.75
FBtr0078638	173.61	90.11	76.37	216.16	21.9	82.21
FBtr0078639	95.81	0	32.33	0	33.1	19.07
FBtr0078640	2.55	1	0	3.25	1	1
FBtr0078642	19	8	0	15.15	0	15
FBtr0078643	0	0	9	0	13	0
FBtr0078644	0	0	0	5.85	0	0
FBtr0078645	2	0	0	1	0	1
FBtr0078647	282	136	175	362	115	133
FBtr0078648	0	0	0	0	0	0
FBtr0078649	2637.42	586.92	617.62	2208.67	734.55	485.45
FBtr0078650	15674.42	6044.04	8528.75	22936.51	8185.02	7388.5
FBtr0078651	74.34	34.3	20.98	58.04	17.72	14.4
FBtr0078652	372.67	305.34	250.32	513.37	167.12	188.62
FBtr0078653	93.05	0	0	60.88	0	22.39
FBtr0078654	50.09	17.19	36.13	60.93	7.57	23.68
FBtr0078655	3	0	0	1	1	0
FBtr0078656	0	0	0	0	0	0
FBtr0078657	0	0	0	0	0	0
FBtr0078661	1017.28	473.24	690.56	1146.13	557.05	430.4
FBtr0078662	25.71	132.23	0	72.37	56.24	95.07
FBtr0078663	561.9	117.52	340.74	682	193.42	265.61
FBtr0078664	84.11	0	14.49	90.5	6.29	6.93
FBtr0078665	2124	674	893	2037	677	592
FBtr0078666	1661.52	221.77	219.77	1396.38	294.28	218.31
FBtr0078667	1010	349	457	1040	301	357
FBtr0078668	675.79	264	359	618.76	240	257
FBtr0078669	651.79	277.21	195.79	683.28	0	104.55
FBtr0078670	1194.21	267.79	571.21	1276.72	654	556.45
FBtr0078672	0	0	0	0	0	0
FBtr0078674	0	0	0	0	0	0
FBtr0078675	1	1	0	0	2.73	1.17
FBtr0078676	0	0	0	0	0	0
FBtr0078677	2261.23	810	1082	2606.07	933	902
FBtr0078678	359	138	175	365	125	141
FBtr0078679	0.5	0.5	0	0	0	0
FBtr0078680	685.23	292.21	421.94	959.08	355.53	330.34
FBtr0078681	30.43	47.79	44.06	0	17.47	48.66
FBtr0078682	1521	646	919	1861	623	671
FBtr0078683	352.66	0	68.05	244.3	106.05	83.26
FBtr0078684	0	0	56.43	0.29	71.32	104.59
FBtr0078686	931.54	1265.3	1464.4	3277.72	1332.74	1121.01
FBtr0078687	0	0	0	100.78	58.97	68.96
FBtr0078688	496.16	136	147	473.66	140	135
FBtr0078689	46.31	0.15	46.86	66.72	49.42	53.02
FBtr0078692	57.4	56.48	21.37	81.09	28.65	28.84
FBtr0078693	1186.57	340.25	349.98	1851.05	428.12	410.14
FBtr0078694	19.43	13.75	132.02	9.95	20.88	86.86
FBtr0078699	323.52	73	105	272.76	65	65
FBtr0078700	7208.74	2050.49	2841.25	8018.69	2370.96	2297.64
FBtr0078701	150.87	10.51	32.75	116.92	22.04	21.36
FBtr0078704	1691	774	1072	1870	767	700
FBtr0078705	38027.46	23977.82	32348.05	58728.68	24022.02	28409.99
FBtr0078706	26	12	5	32	12	8
FBtr0078707	23.5	6.88	6.82	54.73	6.81	13.81
FBtr0078708	521	255	348	636.96	303	286
FBtr0078709	336	163	211	294	129	125
FBtr0078710	477.63	165.19	245.07	277.06	153.41	145.07
FBtr0078711	474.83	136.74	73.06	354.76	101.08	0
FBtr0078712	320.12	90	155	260.67	76	85
FBtr0078713	1173	427	564.59	1315.28	473	471
FBtr0078714	0	0	18.41	97.72	0	0
FBtr0078716	2163.29	822	921.23	3134.73	1079.93	905.96
FBtr0078720	116	42.93	48	118.54	35	43
FBtr0078721	868	328	461	853	292	319
FBtr0078722	0	1008.31	1519	0	1058.73	913.36
FBtr0078723	1515	485	673	1472	501	500
FBtr0078724	393.61	186	251	434	129	140
FBtr0078725	0	0	0	0	0	0
FBtr0078726	4	0	0	0	0.62	0
FBtr0078727	697	230	272	682	197	195
FBtr0078728	1349.86	445.59	668.3	1879.15	595.38	597.91
FBtr0078730	2612.88	1062	1549	2946.33	1178	1227
FBtr0078732	881.86	413.13	515.1	1075.04	412	443.04
FBtr0078733	75.97	30.99	27.14	31.36	19.65	23.69
FBtr0078734	2704.24	1131.24	1496.54	3435.74	1473.73	1176.62
FBtr0078736	511	234	340	652.04	288	291
FBtr0078737	78	36	38	48	19	23
FBtr0078739	403.28	114.73	129.53	362.26	112.36	90.05
FBtr0078740	44.31	10.7	16.5	40.78	16.02	10.3
FBtr0078741	1030.21	575.4	906.14	1170.36	427.69	656.37
FBtr0078742	1169.21	90.07	0.24	2023.58	310.47	0.07
FBtr0078743	2473	838	1244	2666	798	788
FBtr0078744	2612.27	348.13	457.11	1593.38	393.21	394.71
FBtr0078745	9734.64	2593	3294.74	10007.51	2937.05	2800.25
FBtr0078746	258.06	16.44	40.31	158.87	31.07	34.8
FBtr0078747	292.7	64.05	53	49.14	32.68	43.99
FBtr0078748	357.45	15.8	67.55	208.61	113.19	88.34
FBtr0078749	389.84	154.58	171.29	1166.83	93.8	134.9
FBtr0078750	47.05	0	0	33.65	0	0
FBtr0078751	1005.48	347	432	1034.24	347	348
FBtr0078752	5802.51	2155.49	2901	8215	2759	2155
FBtr0078753	553	221	304	658	230	211
FBtr0078754	257.9	109	132.89	263.96	75.9	90.66
FBtr0078755	79.44	18.85	20.25	64.21	19.25	29.09
FBtr0078756	610.85	154.48	479.93	617.3	95.93	194.52
FBtr0078757	1264.56	486.67	379.83	1316.83	527.82	440.39
FBtr0078758	1018.88	411.73	689.3	1182.68	466.1	484.25
FBtr0078761	288.9	30.53	87.64	384.17	232.83	65.97
FBtr0078762	1933.96	705.94	837.36	2071.91	687.17	745.03
FBtr0078763	13	3	5	6	3	1
FBtr0078764	0	0	0	0	0	0
FBtr0078765	22	5	3	19	13	6
FBtr0078766	716.93	122.06	130.23	721.84	151.5	136.95
FBtr0078767	603.5	234	311	606	216	231
FBtr0078768	669.34	251	343	615.92	210	209
FBtr0078769	22957	11322	15048	38327	12678	13962
FBtr0078770	4538.23	2057.34	2884.71	5329.13	2289.66	2243.56
FBtr0078773	2	0	0	0	0	0
FBtr0078774	16.57	5.57	10.09	71.71	16.88	10.48
FBtr0078775	231.24	100.91	168.23	356.49	103.4	82.37
FBtr0078777	443.82	139.76	155.35	221.1	151.27	202.31
FBtr0078778	1597.92	575	731	1522.95	536	499
FBtr0078779	10	0	0	7.56	4	3
FBtr0078784	3	0	0	4	0	1
FBtr0078785	1282.66	622.26	955.9	1945.14	751.95	937.56
FBtr0078786	0	0	0	1.18	0	0
FBtr0078787	971	380	516	1072	344	422
FBtr0078789	5	2	4	1	2	3
FBtr0078792	1176.32	443.37	624.89	1720.7	552.79	487.65
FBtr0078793	0	0	0	2	0	0
FBtr0078794	0	0	0	0	0	0
FBtr0078795	0	1	0	0	0	0
FBtr0078797	0	0	0	0	0	0
FBtr0078798	24	12	14	17	0	0
FBtr0078800	0	0	0	0	5	2.5
FBtr0078801	0	0	0	0	1	0
FBtr0078802	436	182	259	586	238	235
FBtr0078803	3003	1142	1584	3463.98	1358.89	1276.8
FBtr0078804	0	0	0	0.02	20.11	0.2
FBtr0078805	0	0	0	0	0	0
FBtr0078806	2465	1089	1433	2263	897	954
FBtr0078807	1854	955	1406	2651	1069	1103
FBtr0078810	4.31	44.21	64.47	111.31	43.21	43.01
FBtr0078811	97.39	51.13	0	841.24	137.18	141.02
FBtr0078812	105.85	29.09	47.72	305.8	59.26	97.45
FBtr0078813	0	0	67.35	0	0	0
FBtr0078814	92.46	5.71	5.52	25.4	9	0
FBtr0078815	241.27	46.6	46.18	468.77	107.49	79.28
FBtr0078816	0	0	0	0	0	0
FBtr0078817	83.73	6.54	0	41.82	4.95	6.56
FBtr0078818	165.75	46.15	0	65.26	30.82	0
FBtr0078819	22	6	4	24	8	3
FBtr0078820	5	1	5	12	0	1
FBtr0078821	1059	303	473	807	279	342
FBtr0078822	8283.86	3229.5	4603.53	9014.54	3618.8	3723.14
FBtr0078823	34.52	6.19	0	26.65	18.62	47.12
FBtr0078824	9	1	1	6	3	5
FBtr0078825	5.08	1	1	5.05	2	0
FBtr0078827	1171.19	540.5	693.91	1624.95	574.13	499.45
FBtr0078828	767.57	448.55	707.76	813.84	436.56	503.01
FBtr0078829	1035.6	292.67	383.98	1075.56	291.47	227.04
FBtr0078830	135.83	44.78	72.26	89.6	73.97	29.95
FBtr0078831	16	3	4	8	5	1
FBtr0078836	1.98	0	0	0	0	0
FBtr0078837	2631.13	804.2	1189	3069.01	1113	977
FBtr0078841	253	65	97	25	7	7
FBtr0078842	1100	370	515	1193	450	482
FBtr0078843	0	0	0	0	0	0
FBtr0078844	15.89	27	26.41	0	40.09	0
FBtr0078846	2	0	0	1	0	0
FBtr0078847	3	0	0	1.33	0	0
FBtr0078848	0	0	0	0	0	0
FBtr0078849	1284.11	217.86	230.45	825.04	302.76	194.87
FBtr0078852	0	0	0	0	0	0
FBtr0078854	0	0	0	0	0	0
FBtr0078855	0	0	0	0	0	0
FBtr0078856	497.96	107.47	86.49	640.56	72.01	67.12
FBtr0078857	492.4	261.78	319.38	448.72	157.56	197.6
FBtr0078859	5	0	2	1	0	0
FBtr0078860	0	0	0	24.27	0	23.55
FBtr0078861	222.41	69.77	118	330	98	81.57
FBtr0078868	1209.63	573	760	1729	522.14	625
FBtr0078870	1100.5	322.98	474.23	1144.88	415.46	372.55
FBtr0078871	219.55	175	32.63	0	110.2	146.45
FBtr0078872	2	0	1	2	0	1
FBtr0078873	0	0	0	0	0	0
FBtr0078874	0	0	0	0	0	1
FBtr0078875	351.29	324.33	489.24	785.42	369.48	337.76
FBtr0078876	400.48	102.85	152	228.95	95	108
FBtr0078880	1	0	1	7	1	1
FBtr0078881	32	0	0	15	0	1
FBtr0078891	33	5	13	49	20.31	20
FBtr0078892	6801	3385	4662	8872	3377	3851
FBtr0078893	365	79	136	306	57	67
FBtr0078894	1820.54	624	844.93	1875.08	683.05	634.14
FBtr0078895	19.18	131.48	123.52	0	168.12	81.92
FBtr0078896	0	0	0	0	1	0
FBtr0078897	0	0	0	0	0	0
FBtr0078898	0	0	0	0	0	0
FBtr0078899	0	3.16	0	0	0	0
FBtr0078900	21.09	8.5	0	0	0	0
FBtr0078901	0.05	0.04	0.08	23.45	0.03	3.7
FBtr0078902	10.01	6.16	0	10.81	7.74	2.59
FBtr0078903	1919.39	671.46	943.75	1926.97	593.68	673.23
FBtr0078907	41.93	4.16	4.09	24.14	12.64	0
FBtr0078908	11.92	10.89	22.3	23.6	6.15	9.96
FBtr0078909	1361.65	248.6	434.67	1477	349.31	331.72
FBtr0078913	0	0	0	0	0	0
FBtr0078914	14.8	4.52	13.52	4.93	0	4.53
FBtr0078915	698.18	258.96	375.5	1549.53	502.37	570.35
FBtr0078916	88.02	45.52	7.99	124.54	68.63	25.12
FBtr0078917	3791	1132	1557	3040	938	796
FBtr0078919	408.26	29.29	17.22	44.03	0	0
FBtr0078921	20522	6335	8408	19969	6650	6521
FBtr0078923	6	2	8	1	2	0
FBtr0078924	83	19	21	49	23	15
FBtr0078925	389	144	168	423	123	142
FBtr0078926	2682.89	1040	1415	3291.06	1126	999
FBtr0078928	1881	656	941	2240	817	752
FBtr0078935	1293.16	333.53	786.57	1257.41	509.89	469.55
FBtr0078936	954.8	175.98	115.78	912.05	166.56	114.65
FBtr0078937	299.92	126.16	184.49	740.61	436.81	412.57
FBtr0078938	109.18	0	0	51.35	0	27.37
FBtr0078939	826.56	342.29	415.63	930.85	344.94	280.64
FBtr0078941	186.22	0	0	43.6	3.44	0
FBtr0078942	106.11	33.2	15.27	198.75	20.31	33.01
FBtr0078943	103.4	11.32	5.61	19.35	5.62	28.32
FBtr0078944	12720.57	5751	7358	14484	6484	6191
FBtr0078946	518.93	60.23	80.92	37.05	57.94	110.71
FBtr0078949	1009	310.47	413.1	1115.87	386.8	332
FBtr0078950	314.67	220.89	332.67	563.35	252.33	230.42
FBtr0078951	0	0	0	2	0	0
FBtr0078953	661.35	116.47	106.46	452.42	103.25	184.47
FBtr0078955	2562.5	785.77	1105.21	2939.37	1037.51	966.86
FBtr0078956	668.48	185.23	199.79	856.63	144.49	180.14
FBtr0078957	0	4.5	5	11	3.37	5
FBtr0078958	792.18	265.39	396.12	1049.77	315.68	338.8
FBtr0078959	21	5	9	27	8	6
FBtr0078961	134.85	28.59	37.2	75.83	13.63	24.78
FBtr0078962	821.15	297.41	482.8	664.17	274.37	200.22
FBtr0078964	4278.89	1190.54	1297.38	4757.56	1742.21	1774.56
FBtr0078965	72.42	0	0	47.68	0	0
FBtr0078966	3397.16	1085.63	1549.62	3758.79	1316	1144.05
FBtr0078967	1273	485	690	1524	520	490
FBtr0078968	15944.01	5405.25	7601.3	25092.01	8776.49	9173.63
FBtr0078969	161.82	10.28	19.57	177.28	54.26	99.34
FBtr0078971	414.24	249.28	263.72	317.52	115.74	94.61
FBtr0078973	532.09	314.61	0	979.86	97.1	138.17
FBtr0078975	1	0	0	5	3	3
FBtr0078976	1	2	2	3	0	1
FBtr0078977	20	1	2	18	3	1
FBtr0078981	84.31	19.88	33	88.91	20	22.57
FBtr0078982	29.23	30.73	0	30.75	18.65	5.87
FBtr0078985	2102	834	1189	2525	921	966
FBtr0078986	1082.42	397	632	1225.53	489	506
FBtr0078987	20	7	12	31	7	10
FBtr0078988	36.25	25	23.57	10.46	42	16.06
FBtr0078989	2	3	3	2	1	2
FBtr0078990	7.01	0	3	7	0	4
FBtr0078991	1148.69	352.17	612.97	1379.77	425.58	504.79
FBtr0078992	354	136	167	433	124	135
FBtr0078994	480.55	176	259	501.53	197	185
FBtr0078995	883	325	475	981	324	412
FBtr0078996	1978.27	799.86	1192	1648.35	745	829.55
FBtr0078997	1288.94	463	575	1316.8	435	507
FBtr0079000	2177.54	722	972.18	2334.43	720.82	876.02
FBtr0079001	48710.2	33840.74	40695	59095.67	23800.45	19925.61
FBtr0079002	22230.7	2723.97	2546.41	3437.61	1632.9	1664.14
FBtr0079003	18104.1	5028.29	5990.59	7960.68	3557.65	2546.25
FBtr0079004	0	0	0	0	0.71	0
FBtr0079005	2.92	1.5	0	3.25	1.94	0
FBtr0079009	562.05	185.81	248.87	571.04	182	199.62
FBtr0079010	10.62	0	8.76	10.59	8.79	8.91
FBtr0079012	0	0	0	0	0	0
FBtr0079013	0	0	0	0	0	0
FBtr0079016	26218.02	8432.8	9959.76	34649.82	8110.16	10723.89
FBtr0079017	148.21	19.5	14.66	219.79	13.19	25.35
FBtr0079018	433.12	233.06	274.81	428.65	189.24	205.62
FBtr0079019	21.82	38	32.11	0	61.89	38.06
FBtr0079025	620.34	276.57	356.29	726.15	228.73	291.38
FBtr0079026	3385.39	1226	1605	3796.98	1518.41	1309.34
FBtr0079027	2630	1024	1474	2413	847	950
FBtr0079028	3558.7	961	1345	3634	1057	1020
FBtr0079029	70	23	36	81	14	23
FBtr0079030	36.81	17.62	34.03	27.59	0	26.92
FBtr0079031	8393.13	3715.56	5430.1	10481.37	4137	4542.46
FBtr0079032	25.34	17.81	17.76	34.41	28.16	22.13
FBtr0079033	50.22	0	0	43.75	0	0
FBtr0079034	1574.76	636.25	958.54	1817.49	689.11	665.89
FBtr0079035	479.31	0.92	344.25	636.1	319.93	191.65
FBtr0079036	51704.37	27174.52	30959.85	45646.57	17521.85	16880.44
FBtr0079037	436	121.5	177.5	490	128.5	140.5
FBtr0079038	1576.71	843.22	878.58	1120.89	678.86	559.74
FBtr0079039	153.96	6.82	0	135.96	8.15	4.64
FBtr0079040	0	7.56	21.69	50.92	74.88	32.13
FBtr0079041	343.87	123.36	152.71	433.58	115.99	183.52
FBtr0079042	190.17	38.18	43.37	401.99	103.91	132.28
FBtr0079043	86.48	3.01	0	68.57	3.08	0
FBtr0079044	117.51	15.07	10.08	63.21	17.23	12.12
FBtr0079045	0	15.81	7.86	25.4	0	0
FBtr0079046	655	267.19	413.14	643.6	254	251
FBtr0079048	972.06	327	545	1237.2	353	424
FBtr0079049	728	321	451	974	284	305
FBtr0079050	177.22	64.84	129.59	282.4	86.43	105.02
FBtr0079051	25.14	13.97	5.04	21.89	17.25	6.49
FBtr0079052	636	208	283	691	217	206
FBtr0079053	6891	2952	4497	9053.91	3435	3833
FBtr0079055	0	0	0	0	1	0
FBtr0079056	1	1	1	1	0	0
FBtr0079057	17.98	9.11	8.48	54.76	16.8	13.87
FBtr0079058	720.99	230	313	767	217	267
FBtr0079061	90	27	28	38	4	12
FBtr0079062	654	189	300	330	112	112
FBtr0079063	0	1	0	2	0	0
FBtr0079066	557.38	134	175	396.35	132	105
FBtr0079068	23	6	5	22	6	7
FBtr0079069	712.4	531.11	724.19	1080.11	566.74	561.15
FBtr0079070	0	80.86	110.3	55.44	71.89	29.87
FBtr0079071	193.48	19.01	29.72	89.91	10.76	1.28
FBtr0079072	1382.78	515.98	603.74	1318.13	343.94	437.42
FBtr0079073	0	0	0	0	0	0
FBtr0079076	0	0	0	0	0	0
FBtr0079077	57	20	28	244	88	90
FBtr0079078	0	0	1	0	1	0
FBtr0079079	0	0	0	0	0	0
FBtr0079080	0	0	0	0	0	0
FBtr0079082	0	0	0.02	2.85	1	1
FBtr0079084	323.94	96.35	88.29	401.94	311.35	243.84
FBtr0079085	0	0	0	0	0	0
FBtr0079086	577.05	336.45	419.3	214.59	367.99	405.58
FBtr0079087	332.19	0	0	613.42	0	0
FBtr0079088	125.15	33.44	51.09	199.09	20.01	20.42
FBtr0079089	19.22	3.12	6.61	21.87	0	0
FBtr0079092	0	0	0	0	0	0
FBtr0079093	0	0	0	0	0	0
FBtr0079094	3.5	1.5	5	1.5	1	3.5
FBtr0079095	1699.58	643	988	1746.07	514	623.46
FBtr0079096	20.5	0	0	10.24	0	0
FBtr0079097	27.39	0	0	45.01	0	43.54
FBtr0079098	372	154	199	390	128	134
FBtr0079099	1954.39	653	870	1943.83	583	554
FBtr0079100	6833.51	2971.15	3934.91	7774.3	3004.72	2577.51
FBtr0079101	0	0	0	0	0	0
FBtr0079102	0	0	0	0	0	0
FBtr0079103	0	0	0	0	0	0
FBtr0079104	0	0	0	0	0	0
FBtr0079106	0	0	0	1	0	0
FBtr0079109	1	0	0	0	0	0
FBtr0079110	0	0	0	0	0	0
FBtr0079111	0	0	0	0	0	0
FBtr0079112	1.03	0	0	0	1	0
FBtr0079114	0	0	0	0	0	0
FBtr0079117	0	0	0	0	0	0
FBtr0079118	0	0	0	0	0	0
FBtr0079119	0	0	0	0	0	0
FBtr0079120	0	0	0	0	0	0
FBtr0079121	1	0	0	0	0	0
FBtr0079123	19.73	0	0	16.58	0	0
FBtr0079124	3949.2	2190.26	2983.45	6010.3	2425.15	2510.55
FBtr0079125	1056.94	50.19	93.51	295.53	125.24	39.13
FBtr0079126	0	2	1	1	2	0
FBtr0079127	12.39	4	4	13	0	5
FBtr0079128	883.61	449	593	796.17	376	420
FBtr0079129	716.02	189	232	757.93	224	211
FBtr0079130	382	150	201	408	138	132
FBtr0079134	271.89	150	253	429.11	131.02	150.91
FBtr0079135	1197.66	474	628	1571.08	448	490
FBtr0079136	15	2	6	8	2	5
FBtr0079138	1	1	1	4	2	2
FBtr0079139	932.05	426	555	1121.03	398	467
FBtr0079143	0	0	0	0	0	0
FBtr0079144	1714	655	843	2340	931	826
FBtr0079145	1	1	0	0	0	0
FBtr0079146	278.8	99.35	127.24	250.5	103.8	72.44
FBtr0079147	54.15	2.91	23.61	127.93	7.53	38.91
FBtr0079148	0	0	0	75.98	0	30.21
FBtr0079150	3	1	1	1	0	0
FBtr0079151	0	0	0	0	0	0
FBtr0079152	1	1	0	0	0	0
FBtr0079153	12	0	5	11	2	1
FBtr0079154	0	2	2	0	4	6
FBtr0079155	0	0	0	0	0	0
FBtr0079156	0	0	0	0	0	0
FBtr0079157	0	0	0	0	0	0
FBtr0079158	2	1	2	1	2	0
FBtr0079159	0	0	0	0	0	0
FBtr0079160	259.04	116	158.58	379	153.06	111.3
FBtr0079163	4.73	1	1	6.43	1	1
FBtr0079164	8.27	5	3	8.57	5	4
FBtr0079165	0	0	0	0	0	0
FBtr0079166	4	2	1	6	4	1
FBtr0079167	1	0	0	4	0	0
FBtr0079168	0	0	0	0	0	0
FBtr0079169	0	0	0	0	0	0
FBtr0079171	1	0	0	1	0	0
FBtr0079172	9	5	8	12	4	3
FBtr0079173	61.32	11.22	7.72	43.91	8.92	0.9
FBtr0079174	16.68	6.78	14.28	9.09	2.08	3.92
FBtr0079175	13010.66	1771.86	2350.61	10738.04	2950.93	1918.67
FBtr0079176	51760.07	28286.28	40217.58	81696.42	32662.74	38159.5
FBtr0079177	0	1179.65	1773.13	0	1330.99	1332.53
FBtr0079178	111.82	92.5	148.75	92.03	70.92	92.63
FBtr0079179	4131.17	1369.84	1949.77	5636.75	1568.05	1630.07
FBtr0079181	0	0	0	0	0	0
FBtr0079182	0	0	0	0	0	0
FBtr0079183	0	5.95	7.12	0	0	0
FBtr0079184	186.73	58.78	154.25	456.5	80.05	36.84
FBtr0079185	520.13	516.15	722.27	1050.02	379.45	508.17
FBtr0079186	57.37	8.14	21.73	40.92	33.16	7.36
FBtr0079187	7	4	6	8	4	3
FBtr0079188	0	0	0	0	0	0
FBtr0079189	0	0	38.56	13.26	0	0
FBtr0079190	198.89	32.05	31.86	264.74	0	32.1
FBtr0079191	0	0	0	0	0	0
FBtr0079192	0	17.66	0	0	0	17.7
FBtr0079196	2685.1	525.83	777.78	3322.67	811.45	791.53
FBtr0079197	0	0	0	0	0	0
FBtr0079198	72.75	57.46	71.13	80.17	54.53	41.62
FBtr0079199	270	110	136	66	42	23
FBtr0079200	1577	816	1068	1974	751	879
FBtr0079201	1	0	0	3	1	0
FBtr0079202	1	0	0	2	0	0
FBtr0079203	1	0	1	0	0	0
FBtr0079204	0	0	0	0	0	0
FBtr0079207	0	0	0	0	0	0
FBtr0079208	0	0	0	0	0	0
FBtr0079211	811	403	534	935	439	321.18
FBtr0079212	0	0	0	0	0	121.82
FBtr0079213	148.44	37.64	86	126.89	31.76	0
FBtr0079215	261.12	107	161	282.26	109	90
FBtr0079216	41.86	38.25	76.12	0	0	38.34
FBtr0079217	317.21	119.64	118.99	429.04	168.66	194.47
FBtr0079218	1209.5	747.65	1058.15	2235.75	854.23	928.84
FBtr0079219	1136.27	469.14	627.85	1595.62	434.12	233.83
FBtr0079220	1698.38	890.86	1069.83	1268.22	985.19	1227.4
FBtr0079221	200.35	0	105.32	619.15	113.69	79.77
FBtr0079222	0	0	0	0	0	0
FBtr0079223	1327.31	623.15	910.51	1557.92	609.98	660.24
FBtr0079224	1	0	1	3	0	1
FBtr0079225	143.9	39.96	66.25	236.27	33.32	42.34
FBtr0079226	521.1	238.04	393.75	655.73	269.68	321.66
FBtr0079227	2	1	1	4	2	0
FBtr0079228	299.93	123	145.96	311.35	156.62	142
FBtr0079229	15.18	0	0	0	11.11	0
FBtr0079230	73.02	0	47	0	27	0
FBtr0079231	2032.87	1247.34	1201.81	4036.74	1235.75	1195.69
FBtr0079232	0	641.26	1813.13	70.07	1474.08	890.18
FBtr0079233	15816.77	5380.71	7825.84	21084.94	4960.53	5993.7
FBtr0079234	97.08	21.24	17.83	88.93	28.32	18.74
FBtr0079235	11435.63	2485.65	3428.81	12344.47	2547	2485.1
FBtr0079236	7236.82	1105.48	1451.86	4523.65	887.69	817.49
FBtr0079237	0	0	0	0	0	0
FBtr0079238	4.9	4.48	0	7	0	0
FBtr0079239	1	1	0	0	0	3
FBtr0079240	0	0	0	0	0	0
FBtr0079241	0	0	0	0	1	0
FBtr0079242	1	0	1	0	0	0
FBtr0079243	1	1	0	1	0	1
FBtr0079247	0	0	0	0	0	0
FBtr0079249	554.03	21.62	58.77	426.57	94.88	87.85
FBtr0079250	6264.76	2614.42	3828.26	7758.64	2826.21	2727
FBtr0079251	39.07	0	0	10.28	0	0
FBtr0079253	2769	1217	1783	6652	2615	2492
FBtr0079255	0	1	2	6	4	3
FBtr0079256	72.7	8.06	8.07	15.75	5.37	0
FBtr0079257	475	150	235	615	213	225
FBtr0079258	718.72	328	444.7	1097.81	381.51	456
FBtr0079259	80.28	0	44.3	27.19	23.49	0
FBtr0079260	0	0	0	0	0	0
FBtr0079261	1281	525	772	1291	543	584
FBtr0079262	426.29	170.51	200.85	565.72	235.22	200.66
FBtr0079263	269	125	211	349	146	143
FBtr0079264	385	151	200	363	124	148
FBtr0079265	0	0	0	0	0	0
FBtr0079266	7862.45	2914.42	4271.74	6011.07	2383.21	2515.63
FBtr0079267	768.83	326.85	535.39	569.61	342.87	354.88
FBtr0079268	1364.8	616.69	864.26	2621.27	1021.13	989.23
FBtr0079269	9.2	0	0	29.54	0	0
FBtr0079270	17.94	8.09	8.03	0	0	0
FBtr0079271	197.24	65.49	61.44	58.71	17.38	33.61
FBtr0079272	573.15	247	327	493.15	204.5	200.5
FBtr0079275	9597.77	5984.51	7729.79	22094.01	9379.35	8630.61
FBtr0079280	1	0	1	0	0	0
FBtr0079281	0	1	0	1	0	0
FBtr0079282	1	2	2	1	3	2
FBtr0079283	4.57	3	2	3.57	3	2
FBtr0079284	929	360	531	1255	504	434
FBtr0079285	0	0	0	0	0	0
FBtr0079286	1	0	0	4	0	1
FBtr0079287	1264.02	0	32.33	307.27	161.81	0
FBtr0079288	272.3	20.99	10.32	280.31	13.88	31.59
FBtr0079289	0	0	0.75	17.06	0	3.65
FBtr0079290	3419	1369	2039	2914	975	1028
FBtr0079291	315.59	57.27	102.7	354.66	34.27	137.71
FBtr0079292	51.09	16.1	0	86.1	16.05	0
FBtr0079293	1345.33	564.64	738.3	1144.24	571.68	468.29
FBtr0079295	3608	712.67	1081.5	2963.38	883.03	770.24
FBtr0079297	1652	619	787	1935	726	676
FBtr0079299	878	240	392	1058	288	351
FBtr0079300	501.84	337.68	429.3	663.28	541.55	455.47
FBtr0079301	637.96	313.55	438.33	974.96	285.24	189.49
FBtr0079303	1	1	0	0	1	0
FBtr0079304	0	0	0	0	0	0
FBtr0079305	0	1	1	0	1	1
FBtr0079306	87.25	123.42	196.04	458.82	146.58	128.22
FBtr0079307	0	0	0.01	0.12	79.19	0
FBtr0079308	0	0	0	0	0	0
FBtr0079309	0	0	0	3.61	1	0
FBtr0079310	2	0	2	1.39	0	0
FBtr0079311	0	0	0	0	0	0
FBtr0079312	6.36	0	7.66	0	0	0
FBtr0079313	0	0	0	0	0	0
FBtr0079314	5.09	5.5	1.34	7.42	5	4
FBtr0079315	1	0	0	0	0	0
FBtr0079319	173.42	79.05	97	279	88	99
FBtr0079320	0	0	21.65	0	0	0
FBtr0079321	1184.52	580.22	850.63	2670.08	977.64	1106.25
FBtr0079322	0	0	0	0	0	0
FBtr0079323	69.29	3.14	42	66	27	29
FBtr0079324	0	2	3	8	0	1
FBtr0079325	197	41	76	191	56	66
